iter	Passed	Remaining
0	57	57417
1	57	28816
2	57	19273
3	58	14495
4	58	11627
5	58	9734
6	59	8375
7	59	7351
8	59	6557
9	59	5921
10	60	5402
11	60	4964
12	60	4595
13	60	4278
14	60	4004
15	61	3763
16	61	3550
17	61	3362
18	61	3193
19	62	3040
20	62	2902
21	62	2775
22	62	2662
23	62	2557
24	63	2461
25	63	2372
26	63	2291
27	63	2215
28	64	2144
29	64	2077
30	64	2015
31	64	1957
32	64	1903
33	65	1852
34	65	1804
35	65	1758
36	65	1714
37	66	1673
38	66	1634
39	66	1597
40	66	1561
41	66	1527
42	67	1495
43	67	1464
44	67	1435
45	67	1406
46	68	1379
47	68	1353
48	68	1328
49	68	1304
50	68	1281
51	69	1259
52	69	1237
53	69	1220
54	69	1200
55	70	1181
56	70	1163
57	70	1145
58	70	1127
59	70	1111
60	71	1096
61	71	1086
62	72	1072
63	72	1058
64	72	1043
65	72	1029
66	72	1016
67	73	1000
68	73	988
69	73	975
70	73	963
71	73	951
72	74	940
73	74	929
74	74	917
75	74	907
76	74	897
77	75	887
78	75	877
79	75	868
80	75	858
81	75	850
82	76	841
83	76	832
84	76	822
85	76	814
86	76	805
87	76	797
88	77	789
89	77	781
90	77	774
91	77	766
92	77	759
93	78	753
94	78	746
95	78	739
96	78	734
97	79	728
98	79	721
99	79	715
100	79	709
101	79	702
102	79	696
103	80	690
104	80	684
105	80	679
106	80	673
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	82	643
113	82	639
114	82	634
115	82	629
116	82	624
117	82	619
118	83	614
119	83	610
120	83	606
121	83	601
122	83	596
123	83	592
124	84	588
125	84	584
126	84	581
127	84	576
128	84	572
129	85	569
130	85	565
131	85	562
132	85	558
133	85	554
134	86	551
135	86	548
136	86	544
137	86	541
138	86	537
139	87	534
140	87	531
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	513
147	88	510
148	88	507
149	89	504
150	89	502
151	89	499
152	89	496
153	89	494
