iter	Passed	Remaining
0	57	57708
1	58	28963
2	58	19361
3	58	14569
4	58	11692
5	58	9771
6	59	8397
7	59	7367
8	59	6569
9	59	5928
10	60	5404
11	60	4966
12	60	4594
13	60	4277
14	60	4001
15	61	3760
16	61	3546
17	61	3356
18	61	3187
19	61	3034
20	62	2895
21	62	2770
22	62	2655
23	62	2551
24	62	2455
25	63	2365
26	63	2283
27	63	2206
28	63	2135
29	63	2069
30	64	2007
31	64	1949
32	64	1894
33	64	1843
34	65	1794
35	65	1748
36	65	1704
37	65	1663
38	65	1623
39	66	1586
40	66	1550
41	66	1517
42	66	1484
43	66	1454
44	67	1424
45	67	1395
46	67	1368
47	67	1342
48	67	1318
49	68	1294
50	68	1271
51	68	1249
52	68	1227
53	68	1207
54	69	1187
55	69	1168
56	69	1149
57	69	1132
58	69	1114
59	70	1098
60	70	1082
61	70	1066
62	70	1051
63	70	1036
64	71	1022
65	71	1008
66	71	994
67	71	981
68	71	968
69	71	956
70	72	945
71	72	935
72	72	924
73	73	913
74	73	902
75	73	892
76	73	881
77	73	871
78	73	862
79	74	852
80	74	843
81	74	833
82	74	823
83	74	815
84	74	806
85	75	798
86	75	790
87	75	782
88	75	774
89	75	766
90	76	759
91	76	752
92	76	745
93	76	738
94	76	731
95	76	724
96	77	717
97	77	711
98	77	704
99	77	698
100	77	692
101	77	686
102	78	680
103	78	675
104	78	669
105	78	664
106	78	659
107	79	653
108	79	648
109	79	643
110	79	638
111	79	634
112	80	630
113	80	626
114	80	622
115	81	618
116	81	613
117	81	608
118	81	604
119	81	599
120	81	595
121	82	590
122	82	586
123	82	582
124	82	578
125	82	574
126	82	570
127	83	566
128	83	562
129	83	558
130	83	554
131	83	551
132	84	547
133	84	544
134	84	540
135	84	537
136	84	533
137	84	530
138	85	527
139	85	523
140	85	520
141	85	517
142	85	513
143	85	510
144	86	507
145	86	504
146	86	501
147	86	498
148	86	496
149	87	493
150	87	490
151	87	487
152	87	486
153	88	483
154	88	480
155	88	478
156	88	475
157	88	472
158	88	470
159	89	467
160	89	464
161	89	462
162	89	459
163	89	457
164	89	454
165	90	452
166	90	450
167	90	447
168	90	445
169	90	443
170	91	441
171	91	439
172	91	436
173	91	434
174	91	432
175	91	430
176	92	428
177	92	426
178	92	424
179	92	422
180	92	420
181	93	418
182	93	416
183	93	414
184	93	412
185	93	410
186	93	408
187	94	406
188	94	404
189	94	403
190	94	401
191	94	399
192	95	397
193	95	396
194	95	394
195	95	393
196	96	391
197	96	389
198	96	388
199	96	386
200	96	384
201	96	382
202	97	381
203	97	379
204	97	377
205	97	376
206	97	374
207	98	373
208	98	371
209	98	370
210	98	368
211	98	367
212	98	365
213	99	364
214	99	362
215	99	361
216	99	359
217	99	358
218	100	356
219	100	355
220	100	353
221	100	352
222	100	351
223	100	349
224	101	348
225	101	346
226	101	345
227	101	344
228	101	342
229	101	341
230	102	340
231	102	338
232	102	337
233	102	336
234	102	334
235	103	333
236	103	332
237	103	331
238	103	330
239	103	328
240	104	327
241	104	326
242	104	325
243	104	324
244	104	322
245	104	321
246	105	320
247	105	319
248	105	318
249	105	317
250	105	316
251	106	314
252	106	313
253	106	312
254	106	311
255	106	310
256	106	309
257	107	308
258	107	307
259	107	306
260	107	304
261	107	303
262	108	302
263	108	301
264	108	300
265	108	299
266	108	298
267	108	297
268	109	296
269	109	295
270	109	294
271	109	293
272	109	292
273	110	292
274	110	291
275	110	290
276	111	289
277	111	289
278	111	288
279	111	287
280	111	286
281	112	285
282	112	284
283	112	283
284	112	282
285	112	281
286	112	280
287	113	279
288	113	278
289	113	277
290	113	277
291	113	276
292	114	275
293	114	274
294	114	273
295	114	272
296	114	271
297	114	270
298	115	269
299	115	269
300	115	268
301	115	267
302	115	266
303	116	265
304	116	265
305	116	264
306	116	263
307	116	262
308	117	262
309	117	261
310	117	260
311	117	260
312	118	259
313	118	259
314	118	258
315	119	257
316	119	257
317	119	256
318	119	255
319	120	255
320	120	254
321	120	253
322	120	253
323	120	252
324	121	251
325	121	250
326	121	250
327	121	249
328	121	248
329	122	247
330	122	247
331	122	246
332	122	245
333	122	244
334	122	244
335	123	243
336	123	242
337	123	241
338	123	241
339	123	240
340	123	239
341	124	238
342	124	238
343	124	237
344	124	236
345	124	235
346	125	235
347	125	234
348	125	233
349	125	233
350	125	232
351	125	231
352	126	231
353	126	230
354	126	229
355	126	229
356	127	228
357	127	228
358	127	227
359	127	226
360	127	226
361	128	225
362	128	224
363	128	224
364	128	223
365	128	223
366	128	222
367	129	221
368	129	221
369	129	220
370	129	219
371	129	219
372	130	218
373	130	217
374	130	217
375	130	216
376	130	216
377	130	215
378	131	214
379	131	214
380	131	213
381	131	213
382	131	212
383	132	211
384	132	211
385	132	210
386	132	210
387	132	209
388	133	208
389	133	208
390	133	207
391	133	207
392	133	206
393	133	206
394	134	205
395	134	205
396	134	204
397	134	204
398	135	203
399	135	202
400	135	202
401	135	201
402	135	201
403	135	200
404	136	200
405	136	199
406	136	198
407	136	198
408	136	197
409	137	197
410	137	196
411	137	196
412	137	195
413	137	195
414	137	194
415	138	193
416	138	193
417	138	192
418	138	192
419	138	191
420	139	191
421	139	190
422	139	190
423	139	189
424	139	189
425	139	188
426	140	188
427	140	187
428	140	187
429	140	186
430	140	186
431	141	185
432	141	185
433	141	184
434	142	184
435	142	184
436	142	183
437	142	183
438	142	182
439	143	182
440	143	181
441	143	181
442	143	180
443	143	180
444	143	179
445	144	179
446	144	178
447	144	178
448	144	177
449	144	177
450	145	176
451	145	176
452	145	175
453	145	175
454	145	174
455	146	174
456	146	173
457	146	173
458	146	172
459	146	172
460	147	171
461	147	171
462	147	170
463	147	170
464	147	170
465	147	169
466	148	169
467	148	168
468	148	168
469	148	167
470	148	167
471	149	166
472	149	166
473	149	165
474	149	165
475	149	164
476	150	164
477	150	164
478	150	163
479	150	163
480	150	162
481	150	162
482	151	161
483	151	161
484	151	160
485	151	160
486	151	159
487	152	159
488	152	159
489	152	158
490	152	158
491	152	157
492	153	157
493	153	156
494	153	156
495	153	156
496	153	155
497	153	155
498	154	154
499	154	154
500	154	153
501	154	153
502	154	152
503	154	152
504	155	152
505	155	151
506	155	151
507	155	150
508	155	150
509	156	149
510	156	149
511	156	149
512	156	148
513	156	148
514	157	147
515	157	147
516	157	147
517	157	146
518	157	146
519	158	145
520	158	145
521	158	145
522	158	144
523	158	144
524	158	143
525	159	143
526	159	142
527	159	142
528	159	142
529	159	141
530	160	141
531	160	140
532	160	140
533	160	140
534	160	139
535	160	139
536	161	138
537	161	138
538	161	138
539	161	137
540	161	137
541	161	136
542	162	136
543	162	136
544	162	135
545	162	135
546	162	134
547	163	134
548	163	134
549	163	133
550	163	133
551	163	132
552	163	132
553	164	132
554	164	131
555	164	131
556	164	130
557	164	130
558	165	130
559	165	129
560	165	129
561	165	129
562	166	128
563	166	128
564	166	128
565	166	127
566	166	127
567	166	127
568	167	126
569	167	126
570	167	125
571	167	125
572	167	125
573	168	124
574	168	124
575	168	124
576	168	123
577	169	123
578	169	123
579	169	122
580	169	122
581	169	121
582	169	121
583	170	121
584	170	120
585	170	120
586	170	120
587	170	119
588	171	119
589	171	119
590	171	118
591	171	118
592	171	117
593	172	117
594	172	117
595	172	116
596	172	116
597	172	116
598	173	115
599	173	115
600	173	115
601	173	114
602	173	114
603	174	114
604	174	113
605	174	113
606	174	112
607	174	112
608	174	112
609	175	111
610	175	111
611	175	111
612	175	110
613	175	110
614	175	110
615	176	109
616	176	109
617	176	109
618	176	108
619	176	108
620	177	108
621	177	107
622	177	107
623	177	107
624	177	106
625	177	106
626	178	105
627	178	105
628	178	105
629	178	104
630	178	104
631	179	104
632	179	103
633	179	103
634	179	103
635	179	102
636	179	102
637	180	102
638	180	101
639	180	101
640	180	101
641	180	100
642	181	100
643	181	100
644	181	99
645	181	99
646	181	99
647	181	98
648	182	98
649	182	98
650	182	97
651	182	97
652	182	97
653	183	96
654	183	96
655	183	96
656	183	95
657	183	95
658	183	95
659	184	94
660	184	94
661	184	94
662	184	93
663	184	93
664	184	93
665	185	92
666	185	92
667	185	92
668	185	91
669	185	91
670	186	91
671	186	90
672	186	90
673	186	90
674	186	89
675	186	89
676	187	89
677	187	88
678	187	88
679	187	88
680	187	87
681	187	87
682	188	87
683	188	87
684	188	86
685	188	86
686	188	86
687	189	85
688	189	85
689	189	85
690	189	84
691	189	84
692	190	84
693	190	83
694	190	83
695	190	83
696	190	82
697	190	82
698	191	82
699	191	82
700	191	81
701	191	81
702	191	81
703	192	80
704	192	80
705	192	80
706	192	79
707	192	79
708	192	79
709	193	78
710	193	78
711	193	78
712	193	77
713	193	77
714	194	77
715	194	77
716	194	76
717	194	76
718	194	76
719	194	75
720	195	75
721	195	75
722	195	74
723	195	74
724	195	74
725	196	73
726	196	73
727	196	73
728	196	73
729	196	72
730	196	72
731	197	72
732	197	71
733	197	71
734	197	71
735	197	70
736	197	70
737	198	70
738	198	70
739	198	69
740	198	69
741	198	69
742	199	68
743	199	68
744	199	68
745	199	67
746	199	67
747	199	67
748	200	67
749	200	66
750	200	66
751	200	66
752	200	65
753	201	65
754	201	65
755	201	64
756	201	64
757	201	64
758	201	64
759	202	63
760	202	63
761	202	63
762	202	62
763	202	62
764	202	62
765	203	62
766	203	61
767	203	61
768	203	61
769	203	60
770	204	60
771	204	60
772	204	60
773	204	59
774	204	59
775	205	59
776	205	58
777	205	58
778	205	58
779	205	58
780	205	57
781	206	57
782	206	57
783	206	56
784	206	56
785	206	56
786	206	56
787	207	55
788	207	55
789	207	55
790	207	54
791	207	54
792	208	54
793	208	54
794	208	53
795	208	53
796	208	53
797	208	52
798	209	52
799	209	52
800	209	52
801	209	51
802	209	51
803	210	51
804	210	50
805	210	50
806	210	50
807	210	50
808	210	49
809	211	49
810	211	49
811	211	48
812	211	48
813	211	48
814	212	48
815	212	47
816	212	47
817	212	47
818	212	47
819	212	46
820	213	46
821	213	46
822	213	45
823	213	45
824	213	45
